 f1 f2 f3 f4 f5 f6 f7 SubcutfatScore
1 96.4643 43.9505 117.942 43.0455 149.834 41.698 0.0608965 2
2 150.697 48.2125 174.759 53.1554 197.146 49.5049 0.142825 3.5
3 146.491 26.1596 163.319 25.6357 190.404 22.2751 0.0619995 3
4 145.446 26.2748 167.054 28.0673 191 23.7703 0.234488 4.5
5 57.023 51.621 68.5984 52.8304 103.346 51.7328 0.0443013 2.5
6 120.209 26.8317 140.066 26.7851 170.226 24.2062 0.104028 2.5
7 32.7829 47.4469 39.7328 49.4651 72.8823 46.82 0.103393 2.5
8 156.256 32.2674 179.507 33.6019 204.857 28.8811 0.0896732 3
9 113.893 29.1906 134.21 31.4438 168.988 23.9536 0.103237 2.5
10 119.638 43.8739 138.885 49.1405 174.736 40.9153 0.239978 1
11 47.8344 41.2046 58.2063 43.2049 97.6807 40.7527 0.0837048 2
12 119.254 38.496 138.612 41.1651 168.933 34.9671 0.0475359 3
13 101.248 26.8643 133.719 27.7684 170.85 22.7686 0.082187 2
14 118.841 40.4825 136.416 44.2128 164.042 40.0694 0.12577 2.5
15 166.106 16.4984 195.458 16.7506 218.511 12.6301 0.515203 5
16 160.036 21.5409 184.464 19.4456 211.475 12.7412 0.356037 2.5
17 152.297 35.593 172.114 36.0334 195.421 32.4871 0.0646246 3.5
18 164.405 16.8899 188.666 17.8013 216.266 14.3957 0.351575 4.5
19 22.5049 28.8802 30.3656 29.9672 70.1028 27.7611 0.148453 2
20 142.174 28.6487 161.71 24.4388 187.065 15.4819 0.132907 3.5
21 127.555 31.1793 148.732 27.694 189.335 24.0652 0.0279883 2.5
22 157.579 24.7467 180.288 20.2064 206.571 16.3158 0.088811 3
23 150.07 33.0377 167.156 31.6627 199.546 16.0828 0.293842 4
24 163.198 18.7837 184.524 15.2229 211.154 14.7062 0.157338 4
25 144.48 29.078 167.655 29.7809 193.018 24.8695 0.0444784 3
26 38.1559 35.2085 57.6309 39.903 100.691 40.5199 0.156779 2
27 96.5473 33.3545 117.117 33.62 157.336 31.4051 0.0943667 2
28 58.1311 47.0384 69.0132 48.7946 106.302 49.692 0.0682445 2.5
29 117.277 17.9702 150.335 14.9472 201.192 11.8956 0.0105417 3
30 164.312 16.8195 186.679 12.4838 210.238 10.091 0.184249 5
31 137.109 25.2695 156.733 26.5542 182.313 24.8319 0.221603 4
32 137.71 32.349 153.18 29.8543 181.88 26.2574 0.0251363 2.5
33 145.97 24.8003 165.071 26.548 192.563 23.6652 0.198942 4
34 141.392 26.5825 163.217 25.8282 188.276 21.4083 0.439267 2
35 100.931 34.7831 117.71 33.3911 154.136 32.899 0.0719217 1
36 105.491 28.8161 135.368 31.2716 174.36 31.3378 0.0780121 2.5
37 147.288 25.292 161.307 25.5999 186.44 21.899 0.16216 1.5
38 153.301 24.6151 167.921 21.4727 191.453 17.3132 0.0467787 2.5
39 131.79 37.3791 150.549 40.9012 172.709 37.9449 0.104895 3
40 37.6521 35.5799 46.1676 34.8769 84.1047 33.188 0.0339299 1
41 166.016 14.9902 187.741 15.7435 214.16 12.8578 0.510851 5
42 56.1809 27.0037 75.4986 29.7076 124.353 30.1888 0.098162 2.5
43 162.935 20.6457 187.707 19.5306 209.122 16.5423 0.0695485 3
44 88.8526 58.0913 99.3008 63.6557 131.327 59.4889 0.110238 3
45 51.9468 38.4367 67.6024 40.4894 107.354 38.4664 0.119916 2
46 165.407 24.2204 187.358 23.661 210.967 20.0813 0.0912378 3
47 68.6284 37.9716 91.9339 40.4447 126.163 39.7294 0.152091 2
48 59.998 35.1302 81.0712 38.757 119.908 40.9133 0.0616922 1.5
49 141.938 35.0507 162.292 37.4565 186.048 34.7453 0.0671795 3
50 63.1466 34.3687 88.8555 44.0597 124.279 44.2008 0.0280422 2
51 99.4244 42.1298 118.334 40.7851 150.444 37.7998 0.0947242 2
52 67.4998 57.0838 77.2464 62.1106 115.631 60.3616 0.0444421 2.5
53 100.199 29.3756 122.055 28.4789 161.927 27.1359 0.0787774 2
